E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
2,1,1660,0.94,0.7,4.7,2,185
2,1,1355,0.9,0.7,4.4,2,201
2,1,1290,0.88,0.6,3.3,2,216
2,1,1660,0.94,0.7,4.7,5,177
2,1,1355,0.9,0.7,4.4,5,191
2,1,1290,0.88,0.6,3.3,5,215
2,1,1660,0.94,0.7,4.7,10,170
2,1,1355,0.9,0.7,4.4,10,183
2,1,1290,0.88,0.6,3.3,10,208
2,1,1660,0.94,0.7,4.7,15,169
2,1,1355,0.9,0.7,4.4,15,182
2,1,1290,0.88,0.6,3.3,15,207
2,1,1660,0.94,0.7,4.7,20,170
2,1,1355,0.9,0.7,4.4,20,179
2,1,1290,0.88,0.6,3.3,20,206
2,1,1660,0.94,0.7,4.7,25,169
2,1,1355,0.9,0.7,4.4,25,177
2,1,1290,0.88,0.6,3.3,25,205
2,1,1660,0.94,0.7,4.7,30,163
2,1,1355,0.9,0.7,4.4,30,174
2,1,1290,0.88,0.6,3.3,30,202
2,4,2855.7,1.74,0.51,5.07,0.5,344.1
2,4,1921.7,1.905,0.93,6.4,1,178.7
2,4,2855.7,1.74,0.51,5.07,1,267
2,4,1921.7,1.905,0.93,6.4,2,167.9
2,4,2855.7,1.74,0.51,5.07,2,228.6
2,4,1921.7,1.905,0.93,6.4,3,131.1
2,4,2855.7,1.74,0.51,5.07,3,218.6
2,4,1921.7,1.905,0.93,6.4,4,102.9
2,4,2855.7,1.74,0.51,5.07,4,209.4
2,4,1921.7,1.905,0.93,6.4,5,76.3
2,4,2855.7,1.74,0.51,5.07,5,199.4
2,4,1921.7,1.905,0.93,6.4,6,61.6
2,4,1921.7,1.905,0.93,6.4,7,57.1
2,4,2855.7,1.74,0.51,5.07,7,185.6
2,4,1921.7,1.905,0.93,6.4,8,55
2,4,2855.7,1.74,0.51,5.07,8,172.5
2,4,1921.7,1.905,0.93,6.4,9,52.8
2,4,2855.7,1.74,0.51,5.07,9,156.1
2,4,1921.7,1.905,0.93,6.4,10,50.7
2,4,2855.7,1.74,0.51,5.07,10,149.3
3,0.8,1591,0.93,5.27,21,0.5,350
3,0.9,1591,0.93,5.27,21,0.5,419
