DOI,Year,Materials Name,Electrolyte,E-type,Voltage (V),Specific surface area (m2/g),IDIG,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
10.1039/c7ra07984b,2017,NC-800,H2SO4,2,1,1803,0.98,6.5,15.8,5,138
10.1039/c7ra07984b,2017,NC-800,H2SO4,2,1,1803,0.98,6.5,15.8,10,117
10.1039/c7ra07984b,2017,NC-800,H2SO4,2,1,1803,0.98,6.5,15.8,15,104
10.1039/c7ra07984b,2017,C-800,H2SO4,2,1,1438,0.91,0.6,11.9,0.5,132
10.1039/c7ra07984b,2017,C-800,H2SO4,2,1,1438,0.91,0.6,11.9,1,127
10.1039/c7ra07984b,2017,C-800,H2SO4,2,1,1438,0.91,0.6,11.9,5,101
10.1039/c7ra07984b,2017,C-800,H2SO4,2,1,1438,0.91,0.6,11.9,10,95
10.1039/c7nj01127j,2017,CK-700,H2SO4,3,1,847.9,0.92,1.45,25.07,0.5,220
10.1039/c7nj01127j,2017,CK-800,H2SO4,3,1,891.8,0.8,0.96,18.74,0.5,272
10.1039/c7nj01127j,2017,CK-900,H2SO4,3,1,878.2,0.78,1.02,15.88,0.5,250
10.1039/c7nj01127j,2017,CKU-800,H2SO4,3,1,1776.9,0.92,2.65,16.34,0.5,300.6
10.1039/c7nj01127j,2017,CK-700,H2SO4,3,1,847.9,0.92,1.45,25.07,1,202
10.1039/c7nj01127j,2017,CK-800,H2SO4,3,1,891.8,0.8,0.96,18.74,1,239
10.1039/c7nj01127j,2017,CK-900,H2SO4,3,1,878.2,0.78,1.02,15.88,1,220
10.1039/c7nj01127j,2017,CKU-800,H2SO4,3,1,1776.9,0.92,2.65,16.34,1,268
10.1039/c7nj01127j,2017,CK-700,H2SO4,3,1,847.9,0.92,1.45,25.07,2,186
10.1039/c7nj01127j,2017,CK-800,H2SO4,3,1,891.8,0.8,0.96,18.74,2,213
10.1039/c7nj01127j,2017,CK-900,H2SO4,3,1,878.2,0.78,1.02,15.88,2,197
10.1039/c7nj01127j,2017,CKU-800,H2SO4,3,1,1776.9,0.92,2.65,16.34,2,244
10.1039/c7nj01127j,2017,CK-700,H2SO4,3,1,847.9,0.92,1.45,25.07,5,174
10.1039/c7nj01127j,2017,CK-800,H2SO4,3,1,891.8,0.8,0.96,18.74,5,191
10.1039/c7nj01127j,2017,CK-900,H2SO4,3,1,878.2,0.78,1.02,15.88,5,180
10.1039/c7nj01127j,2017,CKU-800,H2SO4,3,1,1776.9,0.92,2.65,16.34,5,224
10.1039/c7nj01127j,2017,CK-700,H2SO4,3,1,847.9,0.92,1.45,25.07,10,167
10.1039/c7nj01127j,2017,CK-800,H2SO4,3,1,891.8,0.8,0.96,18.74,10,184
10.1039/c7nj01127j,2017,CK-900,H2SO4,3,1,878.2,0.78,1.02,15.88,10,172
10.1039/c7nj01127j,2017,CKU-800,H2SO4,3,1,1776.9,0.92,2.65,16.34,10,219
10.1039/c7nj01127j,2017,CK-700,H2SO4,3,1,847.9,0.92,1.45,25.07,20,165
10.1039/c7nj01127j,2017,CK-800,H2SO4,3,1,891.8,0.8,0.96,18.74,20,183
10.1039/c7nj01127j,2017,CK-900,H2SO4,3,1,878.2,0.78,1.02,15.88,20,172
10.1039/c7nj01127j,2017,CKU-800,H2SO4,3,1,1776.9,0.92,2.65,16.34,20,213
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,1,218
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,1,152
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,1,130
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,2,212
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,2,146
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,2,126
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,5,205
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,5,136
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,5,118
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,10,197
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,10,128
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,10,109
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,15,195
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,15,122
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,15,113
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,20,190
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,20,118
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,20,96
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,25,185
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,25,111
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,25,91
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,30,180
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,30,107
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,30,86
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,35,174
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,35,113
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,35,80
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,40,170
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,40,98
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,40,76
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,45,163
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,45,94
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,45,71
10.1039/c7gc00506g,2017,LHC-3K,EMITFSI,2,2.5,1660,0.94,0.7,4.7,50,159
10.1039/c7gc00506g,2017,LHC-2K,EMITFSI,2,2.5,1355,0.9,0.7,4.4,50,88
10.1039/c7gc00506g,2017,LHC-1K,EMITFSI,2,2.5,1290,0.88,0.6,3.3,50,67
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,0.1,420
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,0.1,354
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,0.1,289
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,1,348
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,1,288
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,1,224
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,2,327
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,2,276
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,2,220
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,5,311
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,5,258
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,5,211
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,10,302
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,10,247
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,10,207
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,20,300
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,20,238
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,20,207
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,30,300
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,30,235
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,30,203
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,40,295
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,40,231
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,40,196
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,50,289
10.1039/c7gc00506g,2017,LHC-2K,KOH,3,1,1355,0.9,0.7,4.4,50,232
10.1039/c7gc00506g,2017,LHC-1K,KOH,3,1,1290,0.88,0.6,3.3,50,195
10.1039/c7gc00506g,2017,LHC-3K,KOH,3,1,1660,0.94,0.7,4.7,100,284
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,0.5,233
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,0.5,217
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,1,189
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,1,207
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,1,222
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,2,185
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,2,201
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,2,216
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,5,177
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,5,191
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,5,215
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,10,170
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,10,183
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,10,208
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,15,169
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,15,182
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,15,207
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,20,170
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,20,179
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,20,206
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,25,169
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,25,177
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,25,205
10.1039/c7gc00506g,2017,LHC-3K,KOH,2,1,1660,0.94,0.7,4.7,30,163
10.1039/c7gc00506g,2017,LHC-2K,KOH,2,1,1355,0.9,0.7,4.4,30,174
10.1039/c7gc00506g,2017,LHC-1K,KOH,2,1,1290,0.88,0.6,3.3,30,202
10.1039/c6ta07927j,2017,CHPCs,pure emimbf4,2,4,2855.7,1.74,0.51,5.07,0.5,344.1
10.1039/c6ta07927j,2017,HPCs,pure emimbf4,2,4,1921.7,1.905,0.93,6.4,1,178.7
10.1039/c6ta07927j,2017,CHPCs,pure emimbf4,2,4,2855.7,1.74,0.51,5.07,1,267
10.1039/c6ta07927j,2017,HPCs,pure emimbf4,2,4,1921.7,1.905,0.93,6.4,2,167.9
10.1039/c6ta07927j,2017,CHPCs,pure emimbf4,2,4,2855.7,1.74,0.51,5.07,2,228.6
10.1039/c6ta07927j,2017,HPCs,pure emimbf4,2,4,1921.7,1.905,0.93,6.4,3,131.1
10.1039/c6ta07927j,2017,CHPCs,pure emimbf4,2,4,2855.7,1.74,0.51,5.07,3,218.6
10.1039/c6ta07927j,2017,HPCs,pure emimbf4,2,4,1921.7,1.905,0.93,6.4,4,102.9
10.1039/c6ta07927j,2017,CHPCs,pure emimbf4,2,4,2855.7,1.74,0.51,5.07,4,209.4
10.1039/c6ta07927j,2017,HPCs,pure emimbf4,2,4,1921.7,1.905,0.93,6.4,5,76.3
